Gene stable ID,GO term accession,GO domain,GO term definition
ENSMUSG00000000555,"GO:0007155, GO:0008305, GO:0005515, GO:0045202, GO:0005794, GO:0070161, GO:0005886, GO:0016020, GO:0030054, GO:0046872, GO:0005783, GO:0031410, GO:0006914, GO:0005925, GO:0005102, GO:0098609, GO:0007229, GO:0038023, GO:0033627, GO:0007613, GO:0045765, GO:0001525, GO:0007044, GO:0007157, GO:0005178, GO:0014850, GO:0007159, GO:0010507, GO:0033631, GO:0005911, GO:0005154, GO:0005509, GO:0050839, GO:0007565, GO:0010811, GO:0023035, GO:0030335, GO:0031589, GO:0034113, GO:0035313, GO:0035987, GO:1900748, GO:1903672, GO:2000811, GO:0045211, GO:0098978, GO:0034674","biological_process, cellular_component, molecular_function, cellular_component, cellular_component, cellular_component, cellular_component, cellular_component, cellular_component, molecular_function, cellular_component, cellular_component, biological_process, cellular_component, molecular_function, biological_process, biological_process, molecular_function, biological_process, biological_process, biological_process, biological_process, biological_process, biological_process, molecular_function, biological_process, biological_process, biological_process, biological_process, cellular_component, molecular_function, molecular_function, molecular_function, biological_process, biological_process, biological_process, biological_process, biological_process, biological_process, biological_process, biological_process, biological_process, biological_process, biological_process, cellular_component, cellular_component, cellular_component","The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules., A protein complex that is composed of one alpha subunit and one beta subunit, both of which are members of the integrin superfamily of cell adhesion receptors; the complex spans the plasma membrane and binds to extracellular matrix ligands, cell-surface ligands, and soluble ligands., Binding to a protein., The junction between an axon of one neuron and a dendrite of another neuron, a muscle fiber or a glial cell. As the axon approaches the synapse it enlarges into a specialized structure, the presynaptic terminal bouton, which contains mitochondria and synaptic vesicles. At the tip of the terminal bouton is the presynaptic membrane; facing it, and separated from it by a minute cleft (the synaptic cleft) is a specialized area of membrane on the receiving cell, known as the postsynaptic membrane. In response to the arrival of nerve impulses, the presynaptic terminal bouton secretes molecules of neurotransmitters into the synaptic cleft. These diffuse across the cleft and transmit the signal to the postsynaptic membrane., A membrane-bound cytoplasmic organelle of the endomembrane system that further processes the core oligosaccharides (e.g. N-glycans) added to proteins in the endoplasmic reticulum and packages them into membrane-bound vesicles. The Golgi apparatus operates at the intersection of the secretory, lysosomal, and endocytic pathways., A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix., The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins., A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it., A cellular component that forms a specialized region of connection between two or more cells, or between a cell and the extracellular matrix, or between two membrane-bound components of a cell, such as flagella., Binding to a metal ion., The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)., A vesicle found in the cytoplasm of a cell., The cellular catabolic process in which cells digest cellular materials, such as organelles and other macromolecular constituents, or non-self materials such as intracellular pathogens. Autophagy serves to provide essential nutrients under conditions of cellular stress; or can remodel intracellular structures during cell differentiation., A cell-substrate junction that anchors the cell to the extracellular matrix and that forms a point of termination of actin filaments. In insects focal adhesion has also been referred to as hemi-adherens junction (HAJ)., Binding to one or more specific sites on a receptor molecule, a macromolecule that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function., The attachment of one cell to another cell via adhesion molecules., The series of molecular signals initiated by an extracellular ligand binding to an integrin on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription., Receiving a signal and transmitting it in the cell to initiate a change in cell activity. A signal is a physical entity or change in state that is used to transfer information in order to trigger a response., The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via an integrin, a heterodimeric adhesion receptor formed by the non-covalent association of particular alpha and beta subunits., The activities involved in the mental information processing system that receives (registers), modifies, stores, and retrieves informational stimuli. The main stages involved in the formation and retrieval of memory are encoding (processing of received information by acquisition), storage (building a permanent record of received information as a result of consolidation) and retrieval (calling back the stored information and use it in a suitable way to execute a given task)., Any process that modulates the frequency, rate or extent of angiogenesis., Blood vessel formation when new vessels emerge from the proliferation of pre-existing blood vessels., The aggregation, arrangement and bonding together of a set of components to form a junction between a cell and its substrate., The attachment of an adhesion molecule in one cell to a nonidentical adhesion molecule in an adjacent cell., Binding to an integrin., Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a muscle activity stimulus., The attachment of a leukocyte to another cell via adhesion molecules., Any process that stops, prevents, or reduces the frequency, rate or extent of autophagy. Autophagy is the process in which cells digest parts of their own cytoplasm., The attachment of one cell to another cell via an integrin, a heterodimeric adhesion receptor formed by the non-covalent association of particular alpha and beta subunits., A cell junction that forms a connection between two or more cells of an organism; excludes direct cytoplasmic intercellular bridges, such as ring canals in insects., Binding to an epidermal growth factor receptor., Binding to a calcium ion (Ca2+)., Binding to a cell adhesion molecule., The set of physiological processes that allow an embryo or foetus to develop within the body of a female animal. It covers the time from fertilization of a female ovum by a male spermatozoon until birth., Any process that increases the frequency, rate or extent of cell-substrate adhesion. Cell-substrate adhesion is the attachment of a cell to the underlying substrate via adhesion molecules., The series of molecular signals initiated by the binding of the cell surface receptor CD40 to one of its physiological ligands, and ending with the regulation of a downstream cellular process, e.g. transcription., Any process that activates or increases the frequency, rate or extent of cell migration., The attachment of a cell to the underlying substrate via adhesion molecules., The attachment of a cell to a cell of a different type via adhesion molecules., The migration of an epidermal cell along or through a wound gap that contributes to the reestablishment of a continuous epidermis., The process in which a relatively unspecialized cell acquires the specialized features of an endoderm cell, a cell of the inner of the three germ layers of the embryo., Any process that activates or increases the frequency, rate or extent of vascular endothelial growth factor signaling pathway., Any process that activates or increases the frequency, rate or extent of sprouting angiogenesis., Any process that stops, prevents or reduces the frequency, rate or extent of anoikis., A specialized area of membrane facing the presynaptic membrane on the tip of the nerve ending and separated from it by a minute cleft (the synaptic cleft). Neurotransmitters cross the synaptic cleft and transmit the signal to the postsynaptic membrane., A synapse that uses glutamate as a neurotransmitter., An integrin complex that comprises one alpha5 subunit and one beta1 subunit."
ENSMUSG00000001655,"GO:0003677, GO:0006355, GO:0000981, GO:0005634, GO:0045944, GO:0003682, GO:0000978, GO:0006357, GO:0009952, GO:0060173, GO:0001228, GO:0001942, GO:0009653, GO:0035878, GO:0043587, GO:0000976, GO:0003700, GO:0140297, GO:1990837, GO:0045893","molecular_function, biological_process, molecular_function, cellular_component, biological_process, molecular_function, molecular_function, biological_process, biological_process, biological_process, molecular_function, biological_process, biological_process, biological_process, biological_process, molecular_function, molecular_function, molecular_function, molecular_function, biological_process","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)., Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription., A DNA-binding transcription factor activity that modulates the transcription of specific gene sets transcribed by RNA polymerase II., A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent., Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter., Binding to chromatin, the network of fibers of DNA, protein, and sometimes RNA, that make up the chromosomes of the eukaryotic nucleus during interphase., Binding to a specific upstream regulatory DNA sequence (transcription factor recognition sequence or binding site) located in cis relative to the transcription start site (i.e., on the same strand of DNA) of a gene transcribed by RNA polymerase II., Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II., The regionalization process in which specific areas of cell differentiation are determined along the anterior-posterior axis. The anterior-posterior axis is defined by a line that runs from the head or mouth of an organism to the tail or opposite end of the organism., The process whose specific outcome is the progression of a limb over time, from its formation to the mature structure. A limb is an appendage of an animal used for locomotion or grasping. Examples include legs, arms or some types of fin., A DNA-binding transcription factor activity that activates or increases transcription of specific gene sets transcribed by RNA polymerase II., The process whose specific outcome is the progression of the hair follicle over time, from its formation to the mature structure. A hair follicle is a tube-like opening in the epidermis where the hair shaft develops and into which the sebaceous glands open., The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form., The process whose specific outcome is the progression of a nail over time, from its formation to the mature structure. A nail is a horn-like envelope covering the outer end of a finger or toe, and consists of the nail plate, the nail matrix and the nail bed below it, and the grooves surrounding it., The process in which the anatomical structures of the tongue are generated and organized. The tongue is the movable, muscular organ on the floor of the mouth of most vertebrates, in man other mammals is the principal organ of taste, aids in the prehension of food, in swallowing, and in modifying the voice as in speech., Binding to a specific sequence of DNA that is part of a regulatory region that controls transcription of that section of the DNA. The transcribed region might be described as a gene, cistron, or operon., A transcription regulator activity that modulates transcription of gene sets via selective and non-covalent binding to a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within a cis-regulatory region. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons., Binding to a DNA-binding transcription factor, a protein that interacts with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a gene to modulate transcription., Binding to double-stranded DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA, e.g. promotor binding or rDNA binding., Any process that activates or increases the frequency, rate or extent of cellular DNA-templated transcription."
ENSMUSG00000001657,"GO:0003677, GO:0006355, GO:0003700, GO:0000981, GO:0005634, GO:0000122, GO:0030182, GO:0006357, GO:0000977, GO:0048705, GO:0009952, GO:1990837, GO:0005654, GO:0015630","molecular_function, biological_process, molecular_function, molecular_function, cellular_component, biological_process, biological_process, biological_process, molecular_function, biological_process, biological_process, molecular_function, cellular_component, cellular_component","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)., Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription., A transcription regulator activity that modulates transcription of gene sets via selective and non-covalent binding to a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within a cis-regulatory region. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons., A DNA-binding transcription factor activity that modulates the transcription of specific gene sets transcribed by RNA polymerase II., A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent., Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II., The process in which a relatively unspecialized cell acquires specialized features of a neuron., Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II., Binding to a specific sequence of DNA that is part of a regulatory region that controls the transcription of a gene or cistron by RNA polymerase II., The process in which the anatomical structures of the skeleton are generated and organized., The regionalization process in which specific areas of cell differentiation are determined along the anterior-posterior axis. The anterior-posterior axis is defined by a line that runs from the head or mouth of an organism to the tail or opposite end of the organism., Binding to double-stranded DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA, e.g. promotor binding or rDNA binding., That part of the nuclear content other than the chromosomes or the nucleolus., The part of the cytoskeleton (the internal framework of a cell) composed of microtubules and associated proteins."
ENSMUSG00000001661,"GO:0003677, GO:0006355, GO:0003700, GO:0000981, GO:0005634, GO:0006357, GO:0000978, GO:0009952, GO:0048706, GO:0005654, GO:0005829","molecular_function, biological_process, molecular_function, molecular_function, cellular_component, biological_process, molecular_function, biological_process, biological_process, cellular_component, cellular_component","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)., Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription., A transcription regulator activity that modulates transcription of gene sets via selective and non-covalent binding to a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within a cis-regulatory region. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons., A DNA-binding transcription factor activity that modulates the transcription of specific gene sets transcribed by RNA polymerase II., A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent., Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II., Binding to a specific upstream regulatory DNA sequence (transcription factor recognition sequence or binding site) located in cis relative to the transcription start site (i.e., on the same strand of DNA) of a gene transcribed by RNA polymerase II., The regionalization process in which specific areas of cell differentiation are determined along the anterior-posterior axis. The anterior-posterior axis is defined by a line that runs from the head or mouth of an organism to the tail or opposite end of the organism., The process, occurring during the embryonic phase, whose specific outcome is the progression of the skeleton over time, from its formation to the mature structure., That part of the nuclear content other than the chromosomes or the nucleolus., The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
ENSMUSG00000022485,"GO:0003677, GO:0006355, GO:0005634, GO:0003700, GO:0000981, GO:0000978, GO:0006357, GO:0009952, GO:0048706, GO:0005654, GO:0030054","molecular_function, biological_process, cellular_component, molecular_function, molecular_function, molecular_function, biological_process, biological_process, biological_process, cellular_component, cellular_component","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)., Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription., A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent., A transcription regulator activity that modulates transcription of gene sets via selective and non-covalent binding to a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within a cis-regulatory region. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons., A DNA-binding transcription factor activity that modulates the transcription of specific gene sets transcribed by RNA polymerase II., Binding to a specific upstream regulatory DNA sequence (transcription factor recognition sequence or binding site) located in cis relative to the transcription start site (i.e., on the same strand of DNA) of a gene transcribed by RNA polymerase II., Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II., The regionalization process in which specific areas of cell differentiation are determined along the anterior-posterior axis. The anterior-posterior axis is defined by a line that runs from the head or mouth of an organism to the tail or opposite end of the organism., The process, occurring during the embryonic phase, whose specific outcome is the progression of the skeleton over time, from its formation to the mature structure., That part of the nuclear content other than the chromosomes or the nucleolus., A cellular component that forms a specialized region of connection between two or more cells, or between a cell and the extracellular matrix, or between two membrane-bound components of a cell, such as flagella."
ENSMUSG00000023048,"GO:0003674, GO:0008150, GO:0005634, GO:0005654","molecular_function, biological_process, cellular_component, cellular_component","A molecular process that can be carried out by the action of a single macromolecular machine, usually via direct physical interactions with other molecular entities. Function in this sense denotes an action, or activity, that a gene product (or a complex) performs., A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence., A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent., That part of the nuclear content other than the chromosomes or the nucleolus."
ENSMUSG00000023055,"GO:0045944, GO:0003682, GO:0000785, GO:0005634, GO:0005737, GO:0003713, GO:0008270, GO:0046872, GO:0016055, GO:0005515, GO:0000978, GO:0007165, GO:0003712, GO:0008013, GO:0043565, GO:0010628, GO:0030518, GO:0045893, GO:0005829","biological_process, molecular_function, cellular_component, cellular_component, cellular_component, molecular_function, molecular_function, molecular_function, biological_process, molecular_function, molecular_function, biological_process, molecular_function, molecular_function, molecular_function, biological_process, biological_process, biological_process, cellular_component","Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter., Binding to chromatin, the network of fibers of DNA, protein, and sometimes RNA, that make up the chromosomes of the eukaryotic nucleus during interphase., The ordered and organized complex of DNA, protein, and sometimes RNA, that forms the chromosome., A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent., The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures., A transcription coregulator activity that activates or increases the transcription of specific gene sets via binding to a DNA-binding transcription factor at a specific genomic locus, either on its own or as part of a complex. Coactivators often act by altering chromatin structure and modifications. For example, one class of transcription coactivators modifies chromatin structure through covalent modification of histones. A second class remodels the conformation of chromatin in an ATP-dependent fashion. A third class modulates interactions of DNA-bound DNA-binding transcription factors with other transcription coregulators. A fourth class of coactivator activity is the bridging of a DNA-binding transcription factor to the general (basal) transcription machinery. The Mediator complex, which bridges sequence-specific DNA binding transcription factors and RNA polymerase, is also a transcription coactivator., Binding to a zinc ion (Zn)., Binding to a metal ion., The series of molecular signals initiated by binding of a Wnt protein to a frizzled family receptor on the surface of a target cell and ending with a change in cell state., Binding to a protein., Binding to a specific upstream regulatory DNA sequence (transcription factor recognition sequence or binding site) located in cis relative to the transcription start site (i.e., on the same strand of DNA) of a gene transcribed by RNA polymerase II., The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell., A transcription regulator activity that modulates the transcription of specific gene sets via binding to a DNA-binding transcription factor at a specific genomic locus, either on its own or as part of a complex. Coregulators often act by altering chromatin structure and modifications. For example, one class of transcription coregulators modifies chromatin structure through covalent modification of histones. A second class remodels the conformation of chromatin in an ATP-dependent fashion. A third class modulates interactions of DNA-bound DNA-binding transcription factors with other transcription coregulators., Binding to a catenin beta subunit., Binding to DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA e.g. promotor binding or rDNA binding., Any process that increases the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product (protein or RNA)., A nuclear receptor-mediated signaling pathway initiated by a steroid binding to an intracellular receptor of the nuclear receptor protein family, and ending with regulation of a downstream cellular process, e.g. transcription., Any process that activates or increases the frequency, rate or extent of cellular DNA-templated transcription., The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
ENSMUSG00000036061,"GO:0006284, GO:0005634, GO:0003677, GO:0016787, GO:0006281, GO:0006974, GO:0003697, GO:0000702, GO:0000703, GO:0004844, GO:0019104, GO:0005730, GO:0001650, GO:0005654, GO:0005829","biological_process, cellular_component, molecular_function, molecular_function, biological_process, biological_process, molecular_function, molecular_function, molecular_function, molecular_function, molecular_function, cellular_component, cellular_component, cellular_component, cellular_component","In base excision repair, an altered base is removed by a DNA glycosylase enzyme, followed by excision of the resulting sugar phosphate. The small gap left in the DNA helix is filled in by the sequential action of DNA polymerase and DNA ligase., A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent., Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)., Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc., The process of restoring DNA after damage. Genomes are subject to damage by chemical and physical agents in the environment (e.g. UV and ionizing radiations, chemical mutagens, fungal and bacterial toxins, etc.) and by free radicals or alkylating agents endogenously generated in metabolism. DNA is also damaged because of errors during its replication. A variety of different DNA repair pathways have been reported that include direct reversal, base excision repair, nucleotide excision repair, photoreactivation, bypass, double-strand break repair pathway, and mismatch repair pathway., Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to its DNA from environmental insults or errors during metabolism., Binding to single-stranded DNA., Catalysis of the removal of oxidized bases by cleaving the N-C1' glycosidic bond between the target damaged DNA base and the deoxyribose sugar. The reaction releases a free base and leaves an apurinic/apyrimidinic (AP) site., Catalysis of the removal oxidized pyrimidine bases by cleaving the N-C1' glycosidic bond between the oxidized pyrimidine and the deoxyribose sugar. The reaction involves formation of a covalent enzyme-pyrimidine base intermediate. Release of the enzyme and free base by a beta-elimination or a beta, gamma-elimination mechanism results in the cleavage of the DNA backbone 3' of the apyrimidinic (AP) site., Catalysis of the cleavage of the N-C1' glycosidic bond between the damaged DNA base and the deoxyribose sugar, releasing a free base and leaving an apyrimidinic (AP) site. Enzymes with this activity recognize and remove uracil bases in DNA that result from the deamination of cytosine or the misincorporation of dUTP opposite an adenine., Catalysis of the removal of damaged bases by cleaving the N-C1' glycosidic bond between the target damaged DNA base and the deoxyribose sugar. The reaction releases a free base and leaves an apurinic/apyrimidinic (AP) site., A small, dense body one or more of which are present in the nucleus of eukaryotic cells. It is rich in RNA and protein, is not bounded by a limiting membrane, and is not seen during mitosis. Its prime function is the transcription of the nucleolar DNA into 45S ribosomal-precursor RNA, the processing of this RNA into 5.8S, 18S, and 28S components of ribosomal RNA, and the association of these components with 5S RNA and proteins synthesized outside the nucleolus. This association results in the formation of ribonucleoprotein precursors; these pass into the cytoplasm and mature into the 40S and 60S subunits of the ribosome., A structure found most metazoan nucleoli, but not usually found in lower eukaryotes; surrounded by the dense fibrillar component; the zone of transcription from multiple copies of the pre-rRNA genes is in the border region between these two structures., That part of the nuclear content other than the chromosomes or the nucleolus., The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
ENSMUSG00000075394,"GO:0003677, GO:0006355, GO:0003700, GO:0005634, GO:0000981, GO:0001501, GO:0051216, GO:0005654, GO:0000978, GO:0009952, GO:0048562, GO:0045944, GO:0071837, GO:0048704, GO:0001228, GO:1990837","molecular_function, biological_process, molecular_function, cellular_component, molecular_function, biological_process, biological_process, cellular_component, molecular_function, biological_process, biological_process, biological_process, molecular_function, biological_process, molecular_function, molecular_function","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)., Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription., A transcription regulator activity that modulates transcription of gene sets via selective and non-covalent binding to a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within a cis-regulatory region. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons., A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent., A DNA-binding transcription factor activity that modulates the transcription of specific gene sets transcribed by RNA polymerase II., The process whose specific outcome is the progression of the skeleton over time, from its formation to the mature structure. The skeleton is the bony framework of the body in vertebrates (endoskeleton) or the hard outer envelope of insects (exoskeleton or dermoskeleton)., The process whose specific outcome is the progression of a cartilage element over time, from its formation to the mature structure. Cartilage elements are skeletal elements that consist of connective tissue dominated by extracellular matrix containing collagen type II and large amounts of proteoglycan, particularly chondroitin sulfate., That part of the nuclear content other than the chromosomes or the nucleolus., Binding to a specific upstream regulatory DNA sequence (transcription factor recognition sequence or binding site) located in cis relative to the transcription start site (i.e., on the same strand of DNA) of a gene transcribed by RNA polymerase II., The regionalization process in which specific areas of cell differentiation are determined along the anterior-posterior axis. The anterior-posterior axis is defined by a line that runs from the head or mouth of an organism to the tail or opposite end of the organism., Morphogenesis, during the embryonic phase, of a tissue or tissues that work together to perform a specific function or functions. Morphogenesis is the process in which anatomical structures are generated and organized. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions., Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter., Binding to an HMG box domain, a protein domain that consists of three helices in an irregular array. HMG-box domains are found in one or more copies in HMG-box proteins, which form a large, diverse family involved in the regulation of DNA-dependent processes such as transcription, replication, and strand repair, all of which require the bending and unwinding of chromatin., The process in which the anatomical structures of the skeleton are generated and organized during the embryonic phase., A DNA-binding transcription factor activity that activates or increases transcription of specific gene sets transcribed by RNA polymerase II., Binding to double-stranded DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA, e.g. promotor binding or rDNA binding."
ENSMUSG00000076010,GO:0035195,biological_process,"A post-transcriptional gene silencing pathway in which regulatory microRNAs (miRNAs) elicit silencing of specific target genes. miRNAs are endogenous 21-24 nucleotide small RNAs processed from stem-loop RNA precursors (pre-miRNAs). Once incorporated into a RNA-induced silencing complex (RISC), miRNAs can downregulate protein production by either of two posttranscriptional mechanisms: endonucleolytic cleavage of the RNA (often mRNA) or mRNA translational repression, usually accompanied by poly-A tail shortening and subsequent degradation of the mRNA. miRNAs are present in all the animals and in plants, whereas siRNAs are present in lower animals and in plants."
