Gene stable ID,Gene type,Gene name,Gene start (bp),Gene end (bp),Chromosome/scaffold name
ENSMUSG00000000555,protein_coding,Itga5,103252713,103275190,15
ENSMUSG00000001655,protein_coding,Hoxc13,102829538,102837249,15
ENSMUSG00000001657,protein_coding,Hoxc8,102899039,102902543,15
ENSMUSG00000001661,protein_coding,Hoxc6,102906689,102920313,15
ENSMUSG00000022485,protein_coding,Hoxc5,102875878,102925861,15
ENSMUSG00000023048,protein_coding,Prr13,102367463,102371241,15
ENSMUSG00000023055,protein_coding,Calcoco1,102615212,102630613,15
ENSMUSG00000036061,protein_coding,Smug1,103061717,103075519,15
ENSMUSG00000075394,protein_coding,Hoxc4,102927366,102945278,15
ENSMUSG00000076010,miRNA,Mir615,102923342,102923433,15
